,RaceId,DriverId,ConstructorId,GridNumber,DriverPosition
258,30,14,9,14,11
259,30,3,3,15,12
260,30,16,10,18,13
261,30,6,3,19,14
262,30,18,11,17,15
263,30,15,7,11,16
264,30,21,10,20,17
265,30,8,6,4,18
266,30,22,11,16,\N
267,30,12,4,12,\N
268,31,20,5,1,1
269,31,5,1,2,2
270,31,9,2,11,3
271,31,4,4,8,4
272,31,2,2,10,5
273,31,13,6,6,6
274,31,1,1,15,7
275,31,17,9,3,8
276,31,8,6,14,9
277,31,12,4,17,10
278,31,10,7,9,11
279,31,6,3,18,12
280,31,15,7,7,13
281,31,3,3,5,14
282,31,18,11,19,15
283,31,14,9,13,16
284,31,22,11,16,17
285,31,7,5,4,18
286,31,16,10,20,19
287,31,21,10,12,\N
288,32,4,4,15,1
289,32,3,3,8,2
290,32,1,1,2,3
291,32,10,7,7,4
292,32,20,5,6,5
293,32,2,2,9,6
294,32,14,9,14,7
295,32,6,3,10,8
296,32,18,11,12,9
297,32,5,1,5,10
298,32,9,2,4,11
299,32,7,5,17,12
300,32,13,6,1,13
301,32,21,10,20,14
302,32,8,6,3,15
303,32,15,7,11,\N
304,32,16,10,19,\N
305,32,17,9,13,\N
306,32,22,11,18,\N
307,32,12,4,16,\N
308,33,4,4,4,1
309,33,9,2,6,2
310,33,8,6,2,3
311,33,12,4,12,4
312,33,15,7,7,5
313,33,20,5,9,6
314,33,13,6,5,7
315,33,17,9,13,8
316,33,2,2,16,9
317,33,7,5,10,10
318,33,3,3,15,11
319,33,1,1,1,12
320,33,22,11,17,13
321,33,18,11,18,14
322,33,6,3,14,15
323,33,21,10,20,\N
324,33,5,1,3,\N
325,33,16,10,19,\N
326,33,10,7,8,\N
327,33,14,9,11,\N
328,34,1,1,1,1
329,34,13,6,3,2
330,34,8,6,2,3
331,34,4,4,4,4
332,34,2,2,9,5
333,34,9,2,11,6
334,34,10,7,12,7
335,34,12,4,10,8
336,34,20,5,6,9
337,34,14,9,15,10
338,34,22,11,13,11
339,34,6,3,17,12
340,34,7,5,8,13
341,34,17,9,16,14
342,34,3,3,14,15
343,34,18,11,18,16
344,34,21,10,20,17
345,34,5,1,5,\N
346,34,16,10,19,\N
347,34,15,7,7,\N
348,35,13,6,1,1
349,35,4,4,6,2
350,35,8,6,3,3
351,35,20,5,7,4
352,35,1,1,4,5
353,35,10,7,10,6
354,35,5,1,5,7
355,35,15,7,2,8
356,35,17,9,12,9
357,35,2,2,8,10
358,35,9,2,13,11
359,35,3,3,18,12
360,35,18,11,17,13
361,35,7,5,9,14
362,35,22,11,15,15
363,35,16,10,20,16
364,35,6,3,16,17
365,35,21,10,19,18
366,35,12,4,11,\N
367,35,14,9,14,\N
368,36,8,6,1,1
369,36,4,1,2,2
370,36,1,1,4,3
371,36,2,2,3,4
372,36,21,4,6,5
373,36,13,6,22,6
374,36,3,3,12,7
375,36,23,7,9,8
376,36,15,7,8,9
377,36,5,4,13,10
378,36,22,11,16,11
379,36,11,8,10,12
380,36,17,9,7,13
381,36,24,5,19,14
382,36,18,11,14,15
383,36,19,8,11,16
384,36,16,12,20,17
385,36,25,3,15,\N
386,36,14,9,18,\N
387,36,9,2,5,\N
388,36,26,5,17,\N
389,36,27,12,21,\N
390,37,4,1,2,1
391,37,1,1,4,2
392,37,8,6,3,3
393,37,2,2,5,4
394,37,13,6,1,5
395,37,21,4,12,6
396,37,15,7,8,7
397,37,5,4,11,8
398,37,25,3,19,9
399,37,17,9,10,10
400,37,22,11,22,11
401,37,18,11,15,12
402,37,11,8,14,13
403,37,26,5,17,14
404,37,23,7,9,15
405,37,19,8,18,16
406,37,24,5,16,17
407,37,9,2,7,18
408,37,3,3,6,\N
409,37,14,9,13,\N
410,37,27,12,20,\N
411,37,16,12,21,\N
412,38,13,6,1,1
413,38,1,1,2,2
414,38,8,6,3,3
415,38,2,2,5,4
416,38,4,1,4,5
417,38,9,2,6,6
418,38,15,7,9,7
419,38,21,4,7,8
420,38,5,4,12,9
421,38,3,3,10,10
422,38,25,3,11,11
423,38,23,7,14,12
424,38,22,11,15,13
425,38,27,12,22,14
426,38,16,12,20,15
427,38,19,8,13,16
428,38,17,9,8,\N
429,38,14,9,21,\N
430,38,11,8,17,\N
431,38,24,5,18,\N
432,38,18,11,16,\N
433,38,26,5,19,\N
434,39,13,6,1,1
435,39,1,1,4,2
436,39,4,1,2,3
437,39,9,2,5,4
438,39,14,9,9,5
439,39,3,3,11,6
440,39,5,4,8,7
441,39,11,8,13,8
442,39,21,4,10,9
443,39,22,11,12,10
444,39,19,8,15,11
445,39,18,11,14,12
446,39,16,12,20,13
447,39,27,12,21,14
448,39,2,2,7,\N
449,39,23,7,17,\N
450,39,24,5,16,\N
451,39,26,5,22,\N
452,39,8,6,3,\N
453,39,15,7,6,\N
454,39,17,9,19,\N
455,39,25,3,18,\N
456,40,4,1,1,1
457,40,1,1,2,2
458,40,13,6,3,3
459,40,21,4,4,4
460,40,9,2,8,5
461,40,2,2,7,6
462,40,25,3,11,7
463,40,8,6,16,8
464,40,26,5,18,9
465,40,22,11,9,10
466,40,18,11,10,11
467,40,3,3,5,12
468,40,5,4,15,13
469,40,14,9,13,14
470,40,15,7,14,15
471,40,23,7,20,16
472,40,11,8,21,17
473,40,19,8,17,18
474,40,27,12,22,19
475,40,16,12,19,\N
476,40,17,9,6,\N
477,40,24,5,12,\N
478,41,1,1,1,1
479,41,2,2,3,2
480,41,25,3,19,3
481,41,5,4,22,4
482,41,8,6,4,5
483,41,11,8,11,6
484,41,4,1,2,7
485,41,23,7,18,8
486,41,17,9,6,9
487,41,3,3,7,10
488,41,19,8,17,11
489,41,22,11,13,12
490,41,15,7,10,\N
491,41,24,5,12,\N
492,41,27,12,21,\N
493,41,14,9,14,\N
494,41,9,2,8,\N
495,41,16,12,20,\N
496,41,26,5,16,\N
497,41,18,11,15,\N
498,41,13,6,5,\N
499,41,21,4,9,\N
500,42,1,1,1,1
501,42,4,1,2,2
502,42,13,6,3,3
503,42,8,6,4,4
504,42,5,4,6,5
505,42,15,7,8,6
506,42,17,9,9,7
507,42,20,2,7,8
508,42,21,4,10,9
509,42,25,3,17,10
510,42,19,8,16,11
511,42,18,11,13,12
512,42,26,5,20,13
513,42,16,12,21,14
514,42,27,12,22,15
515,42,3,3,14,16
516,42,24,5,19,17
517,42,2,2,5,\N
518,42,11,8,18,\N
519,42,14,9,11,\N
520,42,22,11,15,\N
521,42,23,7,12,\N
522,43,8,6,3,1
523,43,13,6,1,2
524,43,1,1,2,3
525,43,9,2,4,4
526,43,2,2,7,5
527,43,21,4,5,6
528,43,4,1,10,7
529,43,18,11,12,8
530,43,3,3,9,9
531,43,23,7,11,10
532,43,22,11,13,11
533,43,17,9,14,12
534,43,14,9,16,13
535,43,25,3,18,14
536,43,5,4,6,15
537,43,11,8,22,16
538,43,16,12,21,17
