,RaceId,DriverId,ConstructorId_x,GridNumber,DriverPosition,ConstructorId_y,QualifyingPosition
156,8,20,9,1,1,9.0,1.0
157,8,21,10,16,10,10.0,16.0
158,8,22,23,2,3,23.0,2.0
159,8,67,5,19,18,5.0,20.0
160,9,1,1,5,18,1.0,5.0
161,9,2,2,11,10,2.0,11.0
162,9,3,3,15,4,3.0,15.0
163,9,4,4,12,7,4.0,12.0
164,9,5,1,6,8,1.0,6.0
165,9,6,3,13,12,3.0,13.0
166,9,7,5,19,\N,5.0,20.0
167,9,8,6,9,\N,6.0,9.0
168,9,9,2,16,14,2.0,16.0
169,9,10,7,20,9,7.0,19.0
170,9,12,4,10,13,4.0,10.0
171,9,13,6,8,3,6.0,8.0
172,9,15,7,14,17,7.0,14.0
173,9,16,10,7,15,10.0,7.0
174,9,17,9,1,1,9.0,1.0
175,9,18,23,3,5,23.0,3.0
176,9,20,9,4,2,9.0,4.0
177,9,21,10,18,11,10.0,18.0
178,9,22,23,2,6,23.0,2.0
179,9,67,5,17,16,5.0,17.0
180,10,1,1,4,1,1.0,4.0
181,10,2,2,15,11,2.0,16.0
182,10,3,3,5,4,3.0,5.0
183,10,4,4,1,\N,4.0,1.0
184,10,5,1,6,5,1.0,6.0
185,10,6,3,9,9,3.0,9.0
186,10,8,6,7,2,6.0,7.0
187,10,9,2,18,13,2.0,19.0
188,10,10,7,13,6,7.0,14.0
189,10,12,4,14,12,4.0,15.0
190,10,13,6,0,\N,6.0,10.0
191,10,15,7,11,8,7.0,12.0
192,10,16,10,17,\N,10.0,18.0
193,10,17,9,3,3,9.0,3.0
194,10,18,23,8,7,23.0,8.0
195,10,20,9,2,\N,9.0,2.0
196,10,21,10,16,14,10.0,17.0
197,10,22,23,12,10,23.0,13.0
198,10,67,5,10,16,5.0,11.0
199,10,153,5,19,15,5.0,20.0
200,11,1,1,1,2,1.0,1.0
201,11,2,2,11,11,2.0,11.0
202,11,3,3,7,5,3.0,7.0
203,11,4,4,8,6,4.0,8.0
204,11,5,1,2,4,1.0,2.0
205,11,6,3,17,18,3.0,17.0
206,11,8,6,6,3,6.0,6.0
207,11,9,2,10,8,2.0,10.0
208,11,10,7,13,14,7.0,13.0
209,11,15,7,18,13,7.0,18.0
210,11,16,10,12,10,10.0,12.0
211,11,17,9,9,9,9.0,9.0
212,11,18,23,5,7,23.0,5.0
213,11,20,9,4,\N,9.0,4.0
214,11,21,10,16,12,10.0,16.0
215,11,22,23,3,1,23.0,3.0
216,11,67,5,15,\N,5.0,15.0
217,11,69,6,20,17,6.0,20.0
218,11,153,5,19,16,5.0,19.0
219,11,154,4,14,15,4.0,14.0
220,12,1,1,12,\N,1.0,12.0
221,12,2,2,3,5,2.0,3.0
222,12,3,3,10,8,3.0,10.0
223,12,4,4,13,\N,4.0,13.0
224,12,5,1,15,6,1.0,15.0
225,12,6,3,18,13,3.0,18.0
226,12,8,6,6,1,6.0,6.0
227,12,9,2,5,4,2.0,5.0
228,12,10,7,7,10,7.0,7.0
229,12,15,7,2,\N,7.0,2.0
230,12,16,10,11,11,10.0,11.0
231,12,17,9,9,9,9.0,9.0
232,12,18,23,14,\N,23.0,14.0
233,12,20,9,8,3,9.0,8.0
234,12,21,10,1,2,10.0,1.0
235,12,22,23,4,7,23.0,4.0
236,12,67,5,16,12,5.0,16.0
237,12,69,6,20,14,6.0,20.0
238,12,153,5,17,\N,5.0,17.0
239,12,154,4,19,\N,4.0,19.0
240,13,1,1,1,12,1.0,1.0
241,13,2,2,15,7,2.0,15.0
242,13,3,3,18,16,3.0,18.0
243,13,4,4,8,5,4.0,8.0
244,13,5,1,4,6,1.0,4.0
245,13,6,3,17,10,3.0,17.0
246,13,8,6,3,3,6.0,3.0
247,13,9,2,13,\N,2.0,13.0
248,13,10,7,16,11,7.0,16.0
249,13,15,7,11,14,7.0,11.0
250,13,16,10,2,4,10.0,2.0
251,13,17,9,10,\N,9.0,10.0
252,13,18,23,6,2,23.0,6.0
253,13,20,9,9,8,9.0,9.0
254,13,21,6,14,9,6.0,14.0
255,13,22,23,5,1,23.0,5.0
256,13,24,10,7,\N,10.0,7.0
257,13,67,5,19,13,5.0,19.0
258,13,153,5,20,\N,5.0,20.0
259,13,154,4,12,15,4.0,12.0
260,14,1,1,1,1,1.0,1.0
261,14,2,2,20,\N,2.0,8.0
262,14,3,3,3,11,3.0,3.0
263,14,4,4,5,3,4.0,6.0
264,14,5,1,8,7,1.0,10.0
265,14,6,3,10,9,3.0,11.0
266,14,8,6,12,10,6.0,13.0
267,14,9,2,7,8,2.0,9.0
268,14,10,7,6,2,7.0,7.0
269,14,15,7,14,12,7.0,15.0
270,14,16,10,15,\N,10.0,16.0
271,14,17,9,4,\N,9.0,4.0
272,14,18,23,11,5,23.0,12.0
273,14,20,9,2,4,9.0,2.0
274,14,21,6,17,13,6.0,18.0
275,14,22,23,9,6,23.0,5.0
276,14,24,10,19,14,10.0,20.0
277,14,67,5,13,\N,5.0,14.0
278,14,153,5,16,\N,5.0,17.0
279,14,154,4,18,\N,4.0,19.0
280,15,1,1,3,3,1.0,3.0
281,15,2,2,4,6,2.0,6.0
282,15,3,3,7,5,3.0,11.0
283,15,4,4,16,10,4.0,12.0
284,15,5,1,11,11,1.0,9.0
285,15,6,3,15,15,3.0,17.0
286,15,8,6,5,4,6.0,8.0
287,15,9,2,9,9,2.0,13.0
288,15,10,7,20,\N,7.0,14.0
289,15,15,7,2,2,7.0,2.0
290,15,16,10,8,13,10.0,4.0
291,15,17,9,19,17,9.0,20.0
292,15,18,23,10,8,23.0,7.0
293,15,20,9,1,1,9.0,1.0
294,15,21,6,14,12,6.0,16.0
295,15,22,23,6,7,23.0,5.0
296,15,24,10,18,14,10.0,19.0
297,15,67,5,13,\N,5.0,10.0
298,15,153,5,12,\N,5.0,15.0
299,15,154,4,17,16,4.0,18.0
300,16,1,1,17,3,1.0,18.0
301,16,2,2,18,\N,2.0,19.0
302,16,3,3,7,\N,3.0,7.0
303,16,4,4,10,\N,4.0,10.0
304,16,5,1,16,9,1.0,17.0
305,16,6,3,9,\N,3.0,9.0
306,16,8,6,5,6,6.0,5.0
307,16,9,2,8,2,2.0,8.0
308,16,15,7,4,\N,7.0,4.0
309,16,16,10,3,\N,10.0,3.0
310,16,17,9,2,1,9.0,2.0
311,16,18,23,14,5,23.0,14.0
312,16,20,9,15,4,9.0,16.0
313,16,21,6,19,11,6.0,20.0
314,16,22,23,1,8,23.0,1.0
315,16,24,10,20,12,10.0,15.0
316,16,67,5,6,7,5.0,6.0
317,16,153,5,12,14,5.0,12.0
318,16,154,4,13,13,4.0,13.0
319,16,155,7,11,10,7.0,11.0
320,17,1,1,1,\N,1.0,1.0
321,17,2,2,8,5,2.0,8.0
322,17,3,3,9,9,3.0,9.0
323,17,4,4,15,14,4.0,16.0
324,17,5,1,18,11,1.0,13.0
325,17,6,3,13,13,3.0,14.0
326,17,8,6,11,12,6.0,11.0
327,17,9,2,7,10,2.0,7.0
328,17,15,7,6,7,7.0,6.0
329,17,16,10,17,17,10.0,18.0
330,17,17,9,3,2,9.0,3.0
331,17,18,23,5,3,23.0,5.0
332,17,20,9,2,1,9.0,2.0
333,17,21,6,20,16,6.0,20.0
334,17,22,23,4,4,23.0,4.0
335,17,24,10,16,15,10.0,17.0
336,17,67,5,10,8,5.0,10.0
337,17,153,5,14,\N,5.0,15.0
338,17,154,4,19,18,4.0,19.0
339,17,155,7,12,6,7.0,12.0
340,18,1,1,1,1,1.0,1.0
341,18,2,2,5,2,2.0,5.0
342,18,3,3,7,3,3.0,7.0
343,18,4,4,11,4,4.0,12.0
344,18,5,1,3,5,1.0,3.0
345,18,6,3,13,6,3.0,14.0
346,18,7,5,17,7,5.0,18.0
347,18,8,6,15,8,6.0,16.0
348,18,9,2,2,\N,2.0,2.0
349,18,10,7,18,\N,7.0,9.0
350,18,11,8,19,\N,8.0,20.0
351,18,12,4,20,\N,4.0,21.0
352,18,13,6,4,\N,6.0,4.0
353,18,14,9,8,\N,9.0,8.0
354,18,15,7,6,\N,7.0,6.0
355,18,16,10,22,\N,10.0,19.0
356,18,17,9,14,\N,9.0,15.0
357,18,18,11,12,\N,11.0,13.0
358,18,19,8,21,\N,8.0,22.0
359,18,20,5,9,\N,5.0,10.0
360,18,21,10,16,\N,10.0,17.0
361,18,22,11,10,\N,11.0,11.0
362,19,1,1,9,5,1.0,4.0
363,19,2,2,5,6,2.0,7.0
364,19,3,3,16,14,3.0,16.0
365,19,4,4,7,8,4.0,9.0
366,19,5,1,8,3,1.0,3.0
367,19,6,3,22,17,3.0,18.0
368,19,7,5,18,\N,5.0,19.0
369,19,8,6,2,1,6.0,2.0
370,19,9,2,4,2,2.0,6.0
371,19,10,7,10,\N,7.0,10.0
372,19,11,8,19,16,8.0,20.0
373,19,12,4,13,11,4.0,13.0
374,19,13,6,1,\N,6.0,1.0
