,RaceId,DriverId,ConstructorId,GridNumber,QualifyingPosition,CircuitId,TotalDriverPoints
90,5,12,4,12,12,4,0
91,5,13,6,4,4,4,3
92,5,15,7,7,7,4,14
93,5,16,10,19,19,4,0
94,5,17,9,5,5,4,15
95,5,18,23,1,1,4,41
96,5,20,9,2,2,4,23
97,5,21,10,20,20,4,0
98,5,22,23,3,3,4,27
99,5,67,5,15,15,4,3
100,6,1,1,19,16,6,9
101,6,2,2,16,17,6,6
102,6,3,3,6,6,6,7
103,6,4,4,9,9,6,11
104,6,5,1,7,7,6,4
105,6,6,3,10,10,6,0
106,6,7,5,14,14,6,2
107,6,8,6,2,2,6,9
108,6,9,2,17,18,6,0
109,6,10,7,20,20,6,12
110,6,12,4,12,12,6,0
111,6,13,6,5,5,6,8
112,6,15,7,18,19,6,14
113,6,16,10,15,15,6,0
114,6,17,9,8,8,6,19
115,6,18,23,1,1,6,51
116,6,20,9,4,4,6,23
117,6,21,10,13,13,6,0
118,6,22,23,3,3,6,35
119,6,67,5,11,11,6,3
120,7,1,1,16,16,5,9
121,7,2,2,11,11,5,6
122,7,3,3,9,9,5,11
123,7,4,4,8,8,5,11
124,7,5,1,14,14,5,4
125,7,6,3,12,12,5,0
126,7,7,5,20,20,5,2
127,7,8,6,6,6,5,9
128,7,9,2,10,10,5,2
129,7,10,7,13,13,5,13
130,7,12,4,17,17,5,0
131,7,13,6,7,7,5,11
132,7,15,7,5,5,5,19
133,7,16,10,15,15,5,0
134,7,17,9,4,4,5,27
135,7,18,23,2,2,5,61
136,7,20,9,1,1,5,29
137,7,21,10,19,19,5,0
138,7,22,23,3,3,5,35
139,7,67,5,18,18,5,3
140,8,1,1,18,19,9,9
141,8,2,2,15,15,9,6
142,8,3,3,7,7,9,15
143,8,4,4,10,10,9,11
144,8,5,1,13,13,9,4
145,8,6,3,5,5,9,0
146,8,7,5,17,17,9,2
147,8,8,6,9,9,9,10
148,8,9,2,12,12,9,2
149,8,10,7,8,8,9,13
150,8,12,4,14,14,9,0
151,8,13,6,11,11,9,16
152,8,15,7,4,4,9,21
153,8,16,10,20,18,9,0
154,8,17,9,3,3,9,35
155,8,18,23,6,6,9,64
156,8,20,9,1,1,9,39
157,8,21,10,16,16,9,0
158,8,22,23,2,2,9,41
159,8,67,5,19,20,9,3
