,RaceIndexId,RaceId,Year,Round,CircuitId,DriverId,ConstructorId,QualifyingPosition,GridNumber,DriverPosition,TotalDriverPoints,ConstructorPoints,ConstructorPosition
71,550,259,1994,3,21,65.0,32.0,20.0,20.0,10,0.0,0.0,10.0
72,550,259,1994,3,21,110.0,17.0,21.0,21.0,\N,0.0,7.0,4.0
73,550,259,1994,3,21,83.0,32.0,22.0,22.0,\N,0.0,0.0,10.0
74,550,259,1994,3,21,106.0,33.0,23.0,23.0,\N,0.0,1.0,9.0
75,550,259,1994,3,21,101.0,31.0,24.0,24.0,\N,0.0,0.0,13.0
76,550,259,1994,3,21,92.0,30.0,25.0,25.0,\N,0.0,0.0,14.0
77,550,259,1994,3,21,107.0,31.0,26.0,0.0,\N,0.0,0.0,13.0
78,550,259,1994,3,21,108.0,30.0,27.0,0.0,\N,0.0,0.0,14.0
79,550,259,1994,3,21,22.0,17.0,28.0,0.0,\N,7.0,7.0,4.0
80,552,261,1994,5,4,30.0,22.0,1.0,1.0,2,46.0,46.0,1.0
81,552,261,1994,5,4,71.0,3.0,2.0,2.0,1,17.0,17.0,3.0
82,552,261,1994,5,4,57.0,1.0,3.0,3.0,\N,4.0,10.0,5.0
83,552,261,1994,5,4,109.0,22.0,4.0,4.0,\N,0.0,46.0,1.0
84,552,261,1994,5,4,22.0,17.0,5.0,5.0,\N,7.0,11.0,4.0
85,552,261,1994,5,4,55.0,6.0,6.0,6.0,4,9.0,25.0,2.0
86,552,261,1994,5,4,77.0,6.0,7.0,7.0,\N,10.0,25.0,2.0
87,552,261,1994,5,4,84.0,1.0,8.0,8.0,11,6.0,10.0,5.0
88,552,261,1994,5,4,14.0,3.0,9.0,9.0,\N,0.0,17.0,3.0
89,552,261,1994,5,4,79.0,25.0,10.0,10.0,\N,4.0,8.0,6.0
90,552,261,1994,5,4,87.0,25.0,11.0,11.0,3,4.0,8.0,6.0
91,552,261,1994,5,4,49.0,15.0,12.0,12.0,\N,2.0,6.0,7.0
92,552,261,1994,5,4,56.0,17.0,13.0,13.0,6,1.0,11.0,4.0
93,552,261,1994,5,4,105.0,18.0,14.0,14.0,\N,1.0,3.0,9.0
94,552,261,1994,5,4,81.0,29.0,15.0,15.0,\N,0.0,3.0,8.0
95,552,261,1994,5,4,100.0,33.0,16.0,16.0,\N,1.0,1.0,10.0
96,552,261,1994,5,4,106.0,33.0,17.0,17.0,\N,0.0,1.0,10.0
97,552,261,1994,5,4,94.0,18.0,18.0,18.0,5,2.0,3.0,9.0
98,552,261,1994,5,4,44.0,27.0,19.0,19.0,7,0.0,0.0,12.0
99,552,261,1994,5,4,103.0,27.0,20.0,20.0,8,0.0,0.0,12.0
100,552,261,1994,5,4,104.0,29.0,21.0,21.0,\N,3.0,3.0,8.0
101,552,261,1994,5,4,65.0,32.0,22.0,22.0,\N,0.0,0.0,11.0
102,552,261,1994,5,4,70.0,32.0,23.0,23.0,9,0.0,0.0,11.0
103,552,261,1994,5,4,101.0,31.0,24.0,24.0,10,0.0,0.0,13.0
104,552,261,1994,5,4,92.0,30.0,25.0,25.0,\N,0.0,0.0,14.0
105,552,261,1994,5,4,108.0,30.0,26.0,26.0,\N,0.0,0.0,14.0
106,553,262,1994,6,7,30.0,22.0,1.0,1.0,1,56.0,57.0,1.0
107,553,262,1994,6,7,55.0,6.0,2.0,2.0,3,13.0,32.0,2.0
108,553,262,1994,6,7,77.0,6.0,3.0,3.0,4,13.0,32.0,2.0
109,553,262,1994,6,7,71.0,3.0,4.0,4.0,2,23.0,25.0,3.0
110,553,262,1994,6,7,14.0,3.0,5.0,5.0,5,2.0,25.0,3.0
111,553,262,1994,6,7,22.0,17.0,6.0,6.0,7,7.0,11.0,4.0
112,553,262,1994,6,7,57.0,1.0,7.0,7.0,\N,4.0,10.0,5.0
113,553,262,1994,6,7,56.0,17.0,8.0,8.0,\N,1.0,11.0,4.0
114,553,262,1994,6,7,79.0,25.0,9.0,9.0,\N,4.0,8.0,6.0
115,553,262,1994,6,7,49.0,15.0,10.0,10.0,\N,2.0,6.0,7.0
116,553,262,1994,6,7,81.0,29.0,11.0,11.0,\N,0.0,3.0,8.0
